Email,problem0,problem1,problem2,problem3,problem4,problem5,Earned
ora.ahnjayla@gatech.edu,10.0,10.0,8.0,7.0,1.0,10.0,46.0
pamela.vigo@gmail.com,7.5,10.0,6.0,,8.0,10.0,41.5
cecelia.lasondra@gmail.com,10.0,10.0,2.0,2.0,3.0,10.0,37.0
stephen.clarance@gmail.com,7.5,10.0,10.0,9.0,5.0,4.0,45.5
courtney.daymeon@alum.lehigh.edu,9.0,10.0,3.0,2.0,3.0,3.0,30.0
matthew.kayli@gatech.edu,9.0,10.0,2.0,,,10.0,31.0
anita.sinclaire@yahoo.com,10.0,10.0,10.0,3.0,10.0,9.0,52.0
rashad.datra@gmail.com,10.0,10.0,10.0,5.0,,10.0,45.0
bryan.carmindy@umn.edu,10.0,10.0,7.0,,1.0,4.0,32.0
richard.marshaye@gmail.com,2.5,10.0,8.0,8.0,0.0,10.0,38.5
brian.nansy@gmail.com,7.5,10.0,1.0,,,2.0,20.5
harper.lemorris@gmail.com,10.0,10.0,3.0,2.0,5.0,10.0,40.0
jeri.robynn@gmail.com,7.5,10.0,5.0,3.0,5.0,10.0,40.5
kenneth.shontae@gmail.com,0.0,10.0,2.0,2.0,10.0,10.0,34.0
henrietta.sorayda@gmail.com,5.5,10.0,2.0,5.0,,10.0,32.5
vivian.kisher@gmail.com,7.5,10.0,1.0,4.0,3.0,5.0,30.5
william.piers@gmail.com,7.5,7.0,3.0,5.0,,10.0,32.5
jewell.av@qq.com,,7.0,2.0,,,2.0,11.0
valerie.ar@gmail.com,10.0,10.0,2.0,5.0,3.0,10.0,40.0
jon.durke@gmail.com,5.5,10.0,2.0,3.0,,2.0,22.5
michael.meleyah@gmail.com,10.0,10.0,,,,10.0,30.0
stephen.lakeema@gatech.edu,10.0,10.0,10.0,10.0,,9.0,49.0
barrett.wayland@gmail.com,10.0,10.0,5.0,0.0,1.0,10.0,36.0
shannon.khalanii@gatech.edu,10.0,10.0,5.0,10.0,10.0,,45.0
nicki.jovianne@gatech.edu,9.0,10.0,3.0,7.0,5.0,5.0,39.0
buddy.keyria@gmail.com,,10.0,2.0,,,2.0,14.0
terry.shantrece@gmail.com,10.0,10.0,3.0,3.0,3.0,2.0,31.0
tiffany.quindell@gmail.com,10.0,3.0,10.0,10.0,10.0,4.0,47.0
mark.allysia@gmail.com,10.0,10.0,6.0,1.0,3.0,2.0,32.0
micheal.glenola@gatech.edu,10.0,10.0,3.0,,8.0,10.0,41.0
lillyanna.dester@poczta.onet.pl,7.5,10.0,6.0,8.0,5.0,10.0,46.5
tom.wallice@gmail.com,9.0,10.0,6.0,9.0,2.0,9.0,45.0
lester.yesmi@gatech.edu,2.5,10.0,1.0,,10.0,10.0,33.5
steven.marleyrae@gmail.com,10.0,10.0,10.0,7.0,10.0,,47.0
deborah.quinneshia@gmail.com,2.5,10.0,10.0,,5.0,10.0,37.5
pauline.trechelle@gmail.com,7.5,7.0,3.0,2.0,3.0,4.0,26.5
patricia.breely@gmail.com,7.5,7.0,3.0,2.0,,10.0,29.5
daniel.tashera@gmail.com,2.5,,,,,,2.5
anthony.rabi@hotmail.com,10.0,10.0,2.0,7.0,10.0,4.0,43.0
louann.jarique@gmail.com,10.0,10.0,3.0,10.0,2.0,10.0,45.0
eleanor.lenoria@gmail.com,10.0,10.0,2.0,10.0,3.0,10.0,45.0
sergio.cherye@gmail.com,7.5,10.0,6.0,3.0,5.0,10.0,41.5
jarvis.avitaz@gmail.com,10.0,10.0,3.0,,3.0,10.0,36.0
savanna.equasha@gatech.edu,2.5,10.0,,,,9.0,21.5
linda.jamise@gatech.edu,9.0,10.0,3.0,2.0,5.0,10.0,39.0
delaney.dshon@gmail.com,10.0,7.0,3.0,,5.0,4.0,29.0
mary.issys@gatech.edu,10.0,10.0,10.0,2.0,10.0,10.0,52.0
charity.rieley@gatech.edu,7.5,10.0,8.0,10.0,1.0,10.0,46.5
brian.moni@gmail.com,10.0,10.0,6.0,5.0,8.0,10.0,49.0
alexis.shondrea@gatech.edu,10.0,10.0,2.0,2.0,3.0,4.0,31.0
adena.talaiya@qq.com,9.0,10.0,8.0,7.0,,10.0,44.0
jackie.barrion@live.de,7.5,10.0,2.0,0.0,10.0,9.0,38.5
tiare.capree@gatech.edu,4.5,10.0,6.0,9.0,10.0,10.0,49.5
george.kareema@outlook.com,10.0,7.0,8.0,10.0,10.0,10.0,55.0
chelsea.dilann@gatech.edu,10.0,10.0,2.0,3.0,3.0,10.0,38.0
barbara.khendra@gatech.edu,10.0,10.0,3.0,2.0,8.0,9.0,42.0
kayla.pamalee@protonmail.com,10.0,10.0,3.0,2.0,8.0,9.0,42.0
david.duella@gmail.com,8.5,10.0,6.0,2.0,10.0,9.0,45.5
luke.joselen@gatech.edu,10.0,10.0,2.0,3.0,5.0,4.0,34.0
edna.teerica@gmail.com,7.5,10.0,6.0,0.0,5.0,10.0,38.5
dorothy.leycester@gmail.com,10.0,10.0,3.0,3.0,10.0,10.0,46.0
erika.diaan@gmail.com,10.0,10.0,2.0,6.0,,10.0,38.0
john.ruther@gmail.com,10.0,10.0,7.0,0.0,10.0,10.0,47.0
patrick.zyrion@gmail.com,9.0,10.0,3.0,3.0,10.0,10.0,45.0
john.sebria@online.de,9.0,10.0,6.0,5.0,5.0,10.0,45.0
larry.girlene@gmail.com,10.0,10.0,8.0,10.0,1.0,10.0,49.0
dylan.aziria@gmail.com,10.0,10.0,5.0,5.0,10.0,10.0,50.0
heather.courtnay@gmail.com,10.0,10.0,6.0,0.0,5.0,10.0,41.0
rene.amritpal@gmail.com,10.0,10.0,1.0,9.0,5.0,10.0,45.0
kari.reighlynn@gatech.edu,10.0,10.0,8.0,6.0,1.0,10.0,45.0
bailey.mckeyla@gatech.edu,10.0,10.0,7.0,,10.0,9.0,46.0
natalie.wandell@gmail.com,5.5,7.0,2.0,0.0,3.0,2.0,19.5
earl.mahika@gmail.com,10.0,10.0,,10.0,3.0,10.0,43.0
samantha.vidella@gmail.com,10.0,10.0,5.0,9.0,1.0,10.0,45.0
judith.baelie@yahoo.com,10.0,10.0,10.0,7.0,10.0,,47.0
stella.latreace@gmail.com,7.5,10.0,8.0,,5.0,10.0,40.5
braylon.tecia@livemail.tw,5.5,10.0,2.0,5.0,3.0,5.0,30.5
omar.cheyton@gatech.edu,10.0,10.0,1.0,2.0,1.0,10.0,34.0
joseph.neethu@gmail.com,9.0,10.0,2.0,10.0,0.0,4.0,35.0
savanna.montral@gatech.edu,7.5,10.0,1.0,2.0,5.0,4.0,29.5
dana.branch@gmail.com,2.5,10.0,3.0,10.0,10.0,10.0,45.5
danielle.kulsoom@gmail.com,10.0,10.0,6.0,1.0,10.0,10.0,47.0
johnny.anass@gmail.com,10.0,10.0,4.0,7.0,5.0,2.0,38.0
minnie.akaia@gmail.com,10.0,10.0,2.0,9.0,5.0,4.0,40.0
keith.saraiya@gmail.com,10.0,10.0,1.0,6.0,,10.0,37.0
robert.burnest@gmail.com,10.0,10.0,4.0,2.0,10.0,9.0,45.0
connor.amilliona@gatech.edu,7.5,10.0,2.0,2.0,10.0,10.0,41.5
benjamin.zanthia@gatech.edu,10.0,10.0,8.0,9.0,,10.0,47.0
russell.dick@gmail.com,5.5,7.0,4.0,,1.0,9.0,26.5
jamie.asadbek@gmail.com,10.0,10.0,2.0,,1.0,10.0,33.0
francis.hazlie@gmail.com,10.0,10.0,10.0,0.0,10.0,5.0,45.0
gary.adamina@mail.ccsf.edu,10.0,10.0,7.0,3.0,5.0,10.0,45.0
melanie.richana@gmail.com,2.5,10.0,3.0,10.0,1.0,10.0,36.5
kai.rex@gmail.com,7.5,10.0,6.0,0.0,10.0,10.0,43.5
christine.leani@yahoo.com,10.0,10.0,5.0,3.0,10.0,5.0,43.0
kathleen.lonn@outlook.com,5.5,10.0,3.0,10.0,10.0,10.0,48.5
jaime.maasai@gmail.com,7.5,10.0,7.0,3.0,3.0,5.0,35.5
louise.aaravi@hotmail.com,10.0,10.0,10.0,,10.0,10.0,50.0
chanel.hooria@hotmail.com,10.0,10.0,10.0,,0.0,,30.0
mason.haskell@gatech.edu,7.5,10.0,2.0,,10.0,3.0,32.5
valerie.jamial@gmail.com,10.0,10.0,2.0,10.0,,2.0,34.0
charles.purdy@hotmail.com,10.0,10.0,2.0,2.0,5.0,4.0,33.0
betsy.edwynn@mac.com,10.0,10.0,2.0,3.0,,5.0,30.0
jazlyn.florin@gmail.com,5.5,,2.0,,3.0,10.0,20.5
lisa.hovik@gmail.com,5.5,10.0,7.0,2.0,1.0,5.0,30.5
lamar.rinya@yahoo.com,10.0,10.0,,5.0,10.0,10.0,45.0
amanda.dvyne@gatech.edu,9.0,10.0,3.0,3.0,,9.0,34.0
laila.marae@gatech.edu,10.0,10.0,6.0,9.0,5.0,10.0,50.0
drew.artice@gmail.com,10.0,10.0,2.0,10.0,10.0,10.0,52.0
sierra.kyrsha@gatech.edu,10.0,10.0,8.0,2.0,10.0,10.0,50.0
dana.ashliegh@gatech.edu,10.0,10.0,2.0,,10.0,10.0,42.0
tristen.markiah@gatech.edu,10.0,10.0,2.0,4.0,,10.0,36.0
carolyn.lamontez@gmail.com,10.0,10.0,3.0,5.0,,10.0,38.0
adelina.roxene@gmail.com,2.5,7.0,3.0,4.0,3.0,10.0,29.5
stacie.swadha@gmail.com,7.5,10.0,5.0,5.0,10.0,10.0,47.5
betty.pancho@gmail.com,7.5,10.0,,10.0,10.0,10.0,47.5
thomas.masao@gmail.com,7.5,7.0,3.0,10.0,,10.0,37.5
nathan.lawyer@gmail.com,2.5,10.0,1.0,0.0,3.0,5.0,21.5
alexandra.kogan@gmail.com,7.5,10.0,3.0,,10.0,10.0,40.5
paxton.maragret@gmail.com,10.0,10.0,8.0,10.0,5.0,10.0,53.0
craig.doraine@gmail.com,10.0,10.0,8.0,7.0,3.0,5.0,43.0
meredith.rakyla@hotmail.com,10.0,10.0,8.0,9.0,5.0,9.0,51.0
michelle.fionnlagh@gmail.com,10.0,10.0,2.0,3.0,10.0,10.0,45.0
demetrie.randin@gmail.com,4.5,10.0,2.0,2.0,5.0,10.0,33.5
george.roa@hotmail.com,5.5,10.0,6.0,0.0,10.0,10.0,41.5
jessie.telesfor@gatech.edu,10.0,10.0,10.0,9.0,,10.0,49.0
denise.rickayla@gmail.com,10.0,10.0,7.0,3.0,3.0,10.0,43.0
anthony.fashionette@yahoo.com,10.0,10.0,10.0,10.0,10.0,10.0,60.0
sue.ikira@gmail.com,10.0,10.0,3.0,5.0,3.0,4.0,35.0
randy.adeliz@northsouth.edu,10.0,10.0,2.0,7.0,5.0,10.0,44.0
seneca.nasaria@gmail.com,10.0,10.0,2.0,2.0,1.0,5.0,30.0
harold.phillip@gatech.edu,10.0,7.0,,,,7.0,24.0
john.jogina@gmail.com,,10.0,2.0,2.0,10.0,10.0,34.0
paul.derrin@hawk.iit.edu,7.5,10.0,2.0,2.0,5.0,10.0,36.5
juanita.esiah@gmail.com,7.5,10.0,1.0,0.0,0.0,10.0,28.5
sandra.rethia@gmail.com,5.0,10.0,2.0,0.0,10.0,2.0,29.0
sophie.merika@gmail.com,5.5,10.0,8.0,2.0,10.0,10.0,45.5
nicholas.tajveer@virginia.edu,4.5,10.0,2.0,2.0,5.0,10.0,33.5
lawrence.kiyona@hotmail.com,7.5,7.0,5.0,2.0,5.0,10.0,36.5
fredrick.aleata@gatech.edu,10.0,10.0,10.0,9.0,,10.0,49.0
mary.lunalee@gmail.com,10.0,10.0,7.0,,10.0,9.0,46.0
michael.corderick@gmail.com,10.0,10.0,5.0,0.0,0.0,2.0,27.0
michael.latrish@selu.edu,7.5,10.0,2.0,2.0,,10.0,31.5
scott.tyreka@gatech.edu,10.0,10.0,2.0,10.0,3.0,10.0,45.0
eric.xiah@icloud.com,2.5,7.0,2.0,0.0,1.0,5.0,17.5
claude.tarolyn@gmail.com,7.5,10.0,,9.0,,10.0,36.5
jonathan.nilsa@gmail.com,10.0,10.0,2.0,0.0,1.0,9.0,32.0
brittany.aleta@yahoo.com,,10.0,1.0,9.0,1.0,10.0,31.0
alexis.lareesa@gatech.edu,4.5,10.0,1.0,10.0,10.0,10.0,45.5
darnell.mundi@gatech.edu,7.5,10.0,2.0,10.0,,10.0,39.5
matthew.amidala@gmail.com,7.5,10.0,8.0,2.0,3.0,10.0,40.5
gale.syler@gmail.com,10.0,10.0,2.0,10.0,,9.0,41.0
kathryn.colt@mycit.ie,9.0,7.0,,9.0,1.0,10.0,36.0
nina.alvin@gmail.com,7.5,10.0,1.0,0.0,6.0,10.0,34.5
perla.karynn@gatech.edu,7.5,10.0,10.0,2.0,1.0,5.0,35.5
elizabeth.veton@gmail.com,2.5,10.0,5.0,0.0,5.0,10.0,32.5
susan.sanai@gatech.edu,5.5,10.0,2.0,10.0,10.0,10.0,47.5
crystal.antwann@gmail.com,5.5,10.0,1.0,5.0,1.0,10.0,32.5
chad.darnella@gmail.com,10.0,10.0,10.0,10.0,10.0,10.0,60.0
tory.shritha@gmail.com,9.0,10.0,3.0,0.0,3.0,9.0,34.0
devon.jayion@gmail.com,7.5,10.0,7.0,10.0,10.0,10.0,54.5
gael.iduma@hotmail.com,8.0,7.0,3.0,0.0,,2.0,20.0
martha.chineme@gmail.com,10.0,10.0,5.0,3.0,5.0,10.0,43.0
christian.anum@gmail.com,10.0,10.0,8.0,,,10.0,38.0
barbara.wilhemina@gatech.edu,7.5,,1.0,,,4.0,12.5
matthew.taw@gmail.com,7.5,10.0,5.0,,10.0,10.0,42.5
fatima.shack@gmail.com,9.0,10.0,2.0,10.0,10.0,10.0,51.0
lucy.anouk@gmail.com,10.0,10.0,5.0,7.0,3.0,2.0,37.0
sharon.vandana@gmail.com,2.5,10.0,1.0,2.0,1.0,5.0,21.5
todd.laylynn@ucdavis.edu,9.0,,1.0,,,2.0,12.0
calvin.taskin@gmail.com,10.0,10.0,8.0,10.0,10.0,2.0,50.0
eli.sascha@yahoo.com,10.0,7.0,3.0,2.0,5.0,4.0,31.0
nikolaj.correne@att.net,10.0,10.0,10.0,,10.0,10.0,50.0
mel.gilman@gatech.edu,10.0,7.0,2.0,,5.0,5.0,29.0
olivia.prit@yahoo.com,7.5,10.0,2.0,1.0,0.0,10.0,30.5
michaela.ashauria@gmail.com,7.5,10.0,2.0,5.0,1.0,10.0,35.5
jennifer.rodericus@gmail.com,10.0,10.0,2.0,1.0,1.0,2.0,26.0
david.caswell@duke.edu,10.0,7.0,3.0,1.0,1.0,4.0,26.0
hubert.kezlyn@yandex.ru,10.0,7.0,3.0,3.0,5.0,2.0,30.0
krista.jericka@gmail.com,10.0,10.0,3.0,,8.0,9.0,40.0
tina.davontaye@gmail.com,,10.0,7.0,10.0,10.0,10.0,47.0
vickie.tkiyah@gatech.edu,7.5,7.0,3.0,2.0,3.0,3.0,25.5
hattie.gabriella@gmail.com,2.5,10.0,9.0,3.0,5.0,10.0,39.5
irene.terece@gmail.com,9.0,10.0,6.0,2.0,1.0,10.0,38.0
amaya.krew@gmail.com,10.0,10.0,8.0,,3.0,10.0,41.0
derrick.sacario@gatech.edu,10.0,10.0,6.0,2.0,1.0,10.0,39.0
deandre.jazzabella@gmail.com,10.0,10.0,1.0,6.0,5.0,10.0,42.0
jordan.trenetta@gmail.com,5.5,10.0,5.0,,10.0,9.0,39.5
ryne.marialy@gmail.com,7.0,10.0,8.0,10.0,8.0,10.0,53.0
jasmine.cread@gatech.edu,10.0,10.0,2.0,2.0,3.0,5.0,32.0
bonnie.dreylan@gatech.edu,10.0,10.0,8.0,7.0,,10.0,45.0
adam.evemarie@gmail.com,10.0,10.0,8.0,10.0,3.0,10.0,51.0
james.marcisha@gatech.edu,10.0,10.0,2.0,3.0,1.0,10.0,36.0
edgar.paishance@umn.edu,7.5,10.0,5.0,,5.0,2.0,29.5
ruth.giovanny@hotmail.co.uk,10.0,10.0,10.0,10.0,10.0,10.0,60.0
ryo.hinano@hotmail.co.jp,8.5,10.0,2.0,10.0,5.0,10.0,45.5
fernando.djaun@iiitdm.ac.in,5.5,7.0,3.0,,10.0,10.0,35.5
emily.zoeyann@gmail.com,7.5,10.0,10.0,,10.0,10.0,47.5
norvell.ahmyr@gatech.edu,2.5,10.0,2.0,,5.0,9.0,28.5
ben.zaida@gatech.edu,10.0,10.0,5.0,2.0,3.0,5.0,35.0
stanley.denaly@gmail.com,,10.0,7.0,7.0,10.0,10.0,44.0
pamela.chasitity@gatech.edu,10.0,10.0,8.0,5.0,10.0,2.0,45.0
cecelia.iraa@queensu.ca,10.0,,10.0,10.0,10.0,,40.0
arthur.skii@gatech.edu,10.0,10.0,9.0,0.0,1.0,10.0,40.0
andrew.jlah@hotmail.co.uk,7.5,10.0,4.0,4.0,5.0,2.0,32.5
ryann.satsuko@gmail.com,10.0,10.0,2.0,2.0,10.0,4.0,38.0
cheryl.jaimir@hotmail.com,2.5,10.0,4.0,10.0,10.0,10.0,46.5
daniel.niemah@gmail.com,7.5,10.0,5.0,,5.0,9.0,36.5
aneesa.blaidyn@aol.com,10.0,10.0,2.0,8.0,5.0,10.0,45.0
bruce.ranelle@gmail.com,2.5,,,0.0,,,2.5
francisco.anyeline@gatech.edu,10.0,10.0,8.0,,5.0,4.0,37.0
angel.eddison@gmail.com,10.0,10.0,2.0,10.0,5.0,10.0,47.0
kelly.barrick@gmail.com,5.5,10.0,2.0,0.0,6.0,10.0,33.5
alex.mesias@gmail.com,10.0,10.0,3.0,0.0,5.0,9.0,37.0
annie.jaethan@mail.ru,2.5,10.0,3.0,,10.0,10.0,35.5
stacy.loneta@gmail.com,10.0,10.0,3.0,10.0,2.0,10.0,45.0
karen.adnrew@google.com,7.5,10.0,2.0,,8.0,10.0,37.5
christopher.jullianne@gatech.edu,2.5,7.0,1.0,2.0,1.0,2.0,15.5
philip.lebarron@gmail.com,10.0,10.0,2.0,3.0,10.0,10.0,45.0
nika.daija@gmail.com,9.0,10.0,1.0,3.0,8.0,9.0,40.0
gracie.keshav@gmail.com,4.5,7.0,1.0,,10.0,10.0,32.5
abigail.lynnon@gmail.com,0.0,7.0,1.0,2.0,,2.0,12.0
nancy.roslin@gmail.com,,10.0,,,10.0,10.0,30.0
melanie.devantre@gmail.com,10.0,10.0,2.0,9.0,10.0,4.0,45.0
leta.kartier@gmail.com,7.5,10.0,7.0,0.0,8.0,10.0,42.5
wm.charrisse@gatech.edu,7.5,4.0,1.0,,10.0,10.0,32.5
john.mckoy@nu.edu.kz,10.0,10.0,10.0,10.0,5.0,,45.0
crystal.chakayla@gmail.com,10.0,10.0,10.0,2.0,5.0,10.0,47.0
michael.dixy@gmail.com,7.5,10.0,8.0,9.0,10.0,10.0,54.5
joseph.zakia@gmail.com,10.0,10.0,2.0,0.0,8.0,4.0,34.0
dustin.maleeah@gmail.com,10.0,10.0,2.0,3.0,10.0,10.0,45.0
victoria.shanegua@hotmail.com,10.0,10.0,10.0,10.0,10.0,10.0,60.0
raina.sheehan@gmail.com,10.0,10.0,2.0,,,10.0,32.0
deionte.banisha@gmail.com,7.5,0.0,2.0,0.0,3.0,3.0,15.5
cody.eastin@gmail.com,0.0,10.0,3.0,2.0,10.0,10.0,35.0
helana.khalyn@gmail.com,10.0,10.0,10.0,4.0,1.0,10.0,45.0
carl.shavannah@gatech.edu,5.5,10.0,2.0,2.0,1.0,9.0,29.5
robert.berita@gatech.edu,10.0,10.0,8.0,10.0,3.0,4.0,45.0
debra.nirah@gmail.com,9.0,7.0,3.0,10.0,,5.0,34.0
steven.macray@gmail.com,2.5,10.0,1.0,,3.0,4.0,20.5
lori.soren@gmail.com,10.0,10.0,10.0,10.0,,10.0,50.0
david.naheem@protonmail.com,7.5,10.0,2.0,,1.0,5.0,25.5
franklin.ginnette@gmail.com,7.5,10.0,,,10.0,10.0,37.5
charles.tocha@gmail.com,5.5,10.0,2.0,,3.0,10.0,30.5
evan.kuhao@gatech.edu,9.0,10.0,3.0,10.0,10.0,2.0,44.0
norine.hiliary@gmail.com,7.5,7.0,2.0,0.0,0.0,10.0,26.5
nancy.saba@yahoo.com,7.5,7.0,9.0,5.0,3.0,5.0,36.5
angela.sone@gatech.edu,0.0,0.0,1.0,0.0,0.0,5.0,6.0
john.kyelee@gatech.edu,9.0,10.0,2.0,7.0,3.0,10.0,41.0
bridget.zykeira@gmail.com,7.5,7.0,2.0,3.0,10.0,4.0,33.5
alana.dasianae@me.com,9.0,10.0,6.0,0.0,10.0,10.0,45.0
darlene.eudon@gmail.com,,10.0,2.0,,3.0,10.0,25.0
carlyn.teffany@gmail.com,7.5,10.0,8.0,,10.0,3.0,38.5
barbara.shaniki@gmail.com,7.5,10.0,5.0,2.0,,10.0,34.5
llewellyn.tsurue@gmail.com,9.0,10.0,2.0,2.0,1.0,4.0,28.0
jacob.talecia@gmail.com,,10.0,2.0,10.0,10.0,10.0,42.0
patt.dolora@gmail.com,7.5,10.0,8.0,5.0,5.0,10.0,45.5
jayson.kineta@gatech.edu,10.0,10.0,7.0,,,,27.0
peter.branwyn@gmail.com,10.0,10.0,1.0,,5.0,10.0,36.0
michael.vanelope@t-mobile.com,7.5,10.0,8.0,0.0,3.0,10.0,38.5
paul.kaylana@gatech.edu,7.5,10.0,2.0,,8.0,10.0,37.5
angel.kaesha@gatech.edu,,,,,,2.0,2.0
milagros.victorialynn@gmail.com,10.0,10.0,,,1.0,10.0,31.0
elizabeth.eizabella@gatech.edu,10.0,10.0,,3.0,1.0,10.0,34.0
rita.sidny@gmail.com,10.0,7.0,5.0,2.0,5.0,4.0,33.0
gabrielle.prinsha@gmail.com,9.0,10.0,3.0,9.0,3.0,9.0,43.0
bryan.vancy@gmail.com,7.5,7.0,,,,4.0,18.5
lester.sabrynn@gatech.edu,10.0,10.0,6.0,2.0,0.0,3.0,31.0
angela.lynisha@gatech.edu,10.0,10.0,10.0,10.0,5.0,,45.0
katherine.gicel@gmail.com,10.0,10.0,10.0,10.0,1.0,5.0,46.0
abigail.alizah@umich.edu,7.5,10.0,2.0,,6.0,4.0,29.5
anna.waldron@gatech.edu,,10.0,3.0,2.0,3.0,10.0,28.0
michael.pansy@gmail.com,7.5,7.0,7.0,3.0,3.0,4.0,31.5
levi.kadan@gmail.com,5.5,7.0,1.0,2.0,1.0,5.0,21.5
willard.tammela@hotmail.com,2.5,10.0,2.0,4.0,3.0,9.0,30.5
laura.madelena@gatech.edu,7.5,10.0,6.0,2.0,10.0,9.0,44.5
lorita.theral@gatech.edu,3.5,3.0,1.0,0.0,1.0,5.0,13.5
bernard.hammie@gatech.edu,9.0,10.0,1.0,5.0,10.0,10.0,45.0
antonia.ellymae@gatech.edu,10.0,10.0,3.0,0.0,1.0,4.0,28.0
jade.tliyah@gmail.com,8.0,7.0,5.0,7.0,,2.0,29.0
hobart.malala@gmail.com,10.0,10.0,,,10.0,5.0,35.0
elizabeth.shaiden@pwc.com,2.5,10.0,4.0,9.0,10.0,10.0,45.5
phoebe.cambi@gmail.com,10.0,10.0,,,5.0,10.0,35.0
stacia.shyloe@gmail.com,5.5,10.0,3.0,5.0,5.0,9.0,37.5
chelsea.jaretzi@utexas.edu,7.5,10.0,2.0,2.0,,9.0,30.5
damon.martise@gmail.com,7.5,10.0,3.0,3.0,3.0,10.0,36.5
david.zamaiya@gatech.edu,,10.0,10.0,10.0,5.0,10.0,45.0
alonzo.tyrell@gmail.com,10.0,10.0,1.0,9.0,,10.0,40.0
anquette.zeshaun@gmail.com,10.0,10.0,8.0,3.0,3.0,10.0,44.0
